customer_id,customer_name,email,phone,age,generation,postcode,postcode_area,distance_from_harrods_km,segment,customer_type,nationality,expected_annual_visits,registration_date,estimated_income,loyalty_member,preferred_contact_method,marketing_opt_in,last_campaign_response,customer_notes,clv,days_since_purchase
CUST-000032,Henry J. Butcher,henry.butcher@gmail.com,+44 33 6813 5232,50,Gen X,SW1 8BV,SW1,1.2,High Potential,Local,UK,7,2025-12-08,85509.0,Bronze,Phone,False,Opened,,58742.54,35.0
CUST-000033,Scott B. Day,scott.day@gmail.com,+44 62 7046 8753,33,Millennial,SW1 4YM,SW1,1.2,Regular,Local,UK,7,2024-09-14,109059.0,Bronze,Post,False,,,90493.7,28.0
CUST-000034,Timothy E. Cook,timothy.cook@hotmail.co.uk,+44 37 9595 5636,35,Millennial,SW11 3NT,SW11,5.0,At Risk,Local,UK,2,2024-10-07,30897.0,Silver,Post,True,Opened,,17191.23,17.0
CUST-000035,Anne Y. Kay,anne.kay@btinternet.com,,45,Gen X,SW1 8WV,SW1,1.2,VIP,Local,UK,20,2024-04-26,124948.0,Standard,Phone,False,Unsubscribed,,146500.46,7.0
CUST-000036,Harry Q. Watson,harry.watson@hotmail.co.uk,+44 39 2395 5066,42,Millennial,SW3 3KO,SW3,0.8,Regular,Local,UK,8,2024-10-31,99523.0,Standard,Phone,False,Unsubscribed,Referred by friend,41992.78,15.0
CUST-000037,Henry S. Davies,henry.davies@yahoo.co.uk,+44 25 3573 4929,58,Gen X,SW3 4FR,SW3,0.8,Regular,Local,UK,8,2024-08-25,106278.0,Gold,SMS,False,,,91236.20999999999,147.0
CUST-000038,William E. Oliver,william.oliver@btinternet.com,+44 61 3441 5352,61,Boomer,SW1 4RA,SW1,1.2,Regular,Local,UK,7,2025-12-06,66972.0,Gold,,False,Unsubscribed,,41342.19,149.0
CUST-000039,Sheila O. Harris,sheila.harris@hotmail.co.uk,+44 67 6280 5102,33,Millennial,W1 2WL,W1,2.5,Regular,Local,UK,4,2025-04-26,66505.0,,Email,False,Opened,,34615.45,2.0
CUST-000040,Leslie Y. Rogers,leslie.rogers@outlook.com,+44 46 6460 6260,26,Gen Z,SW3 8NX,SW3,0.8,Regular,Local,UK,8,2025-04-10,96028.0,Silver,SMS,False,Clicked,,171638.41,59.0
CUST-000041,Elliott S. Bailey,elliott.bailey@icloud.com,+44 46 1888 4073,24,Gen Z,SW5 1FP,SW5,3.2,High Potential,Local,UK,3,2025-12-16,81249.0,Standard,Email,True,Unsubscribed,,63286.009999999995,178.0
CUST-000042,Ashley P. Webb,ashley.webb@gmail.com,+44 25 4681 2858,31,Millennial,W6 5BI,W6,5.2,VIP,Local,UK,4,2025-03-01,35717.0,Gold,Phone,False,Ignored,,35381.13,58.0
CUST-000043,Jeremy X. Smith,jeremy.smith@hotmail.co.uk,+44 76 3236 2143,40,Millennial,SW3 4IA,SW3,0.8,At Risk,Local,UK,8,2024-06-01,103341.0,Standard,Post,False,Unsubscribed,,84192.34,71.0
CUST-000044,Charlotte G. Rees,charlotte.rees@yahoo.co.uk,+44 35 7274 4826,52,Gen X,SW5 6IJ,SW5,3.2,Regular,Local,UK,3,2025-05-22,96087.0,Standard,,False,Opened,Prefers morning appointments,22789.66,224.0
CUST-000045,Kelly C. Pearson,kelly.pearson@gmail.com,+44 20 3361 7717,27,Millennial,SW1 8XB,SW1,1.2,High Potential,Local,UK,7,2025-12-10,105860.0,Silver,,False,,,145041.41999999998,43.0
CUST-000046,Charlotte  Gray,charlotte.gray@yahoo.co.uk,+44 51 9864 1588,51,Gen X,SW1 6MI,SW1,1.2,VIP,Local,UK,20,2025-10-10,92454.0,Silver,Post,True,Clicked,,52501.96,127.0
CUST-000047,Kate K. Simpson,kate.simpson@yahoo.co.uk,,27,Millennial,SE1 1TC,SE1,5.5,Regular,Local,UK,1,2024-03-21,48483.0,Standard,SMS,True,,,6230.45,51.0
CUST-000048,Edward J. Little,edward.little@yahoo.co.uk,+44 62 1153 8622,48,Gen X,SW3 8YE,SW3,0.8,At Risk,Local,UK,8,2025-12-07,84284.0,Silver,,False,Unsubscribed,,38773.53,21.0
CUST-000049,Victoria  Reid,victoria.reid@gmail.com,+44 64 5837 1359,67,Boomer,SW3 7FL,SW3,0.8,High Potential,Local,UK,8,2024-08-23,102107.0,Standard,Email,False,Ignored,,101523.28,103.0
CUST-000050,Tom W. Jones,tom.jones@outlook.com,+44 61 1645 6061,24,Gen Z,SW5 3NR,SW5,3.2,Regular,Local,UK,3,2025-03-01,69806.0,Gold,Phone,False,,,60039.200000000004,54.0
CUST-000051,Charles  Dawson,charles.dawson@gmail.com,+44 72 8894 5835,54,Gen X,SW1 5VG,SW1,1.2,VIP,Local,UK,20,2025-11-23,107025.0,Bronze,SMS,True,Opened,,165200.06,101.0
CUST-000052,Patricia  Jenkins,patricia.jenkins@outlook.com,+44 49 7038 5295,25,Gen Z,,SW10,3.8,Regular,Local,UK,2,2025-09-16,50187.0,Bronze,,True,Ignored,,15494.239999999998,11.0
CUST-000053,Rachel  Smith,rachel.smith@hotmail.co.uk,,34,Millennial,SW7 7CU,SW7,1.5,VIP,Local,UK,18,2025-11-17,69762.0,,Email,True,Ignored,Referred by friend,105576.84,98.0
CUST-000054,Ashley  McCarthy,ashley.mccarthy@yahoo.co.uk,+44 37 1536 7070,39,Millennial,SW11 8JR,SW11,5.0,Regular,Local,UK,2,2024-03-03,68407.0,Standard,Post,False,Ignored,,108413.96,22.0
CUST-000055,Glen R. Coleman,glen.coleman@yahoo.co.uk,+44 21 1828 6464,32,Millennial,SW6 4OV,SW6,4.8,Regular,Local,UK,2,2024-12-02,92802.0,Silver,Phone,True,Opened,,29687.59,72.0
CUST-000056,Gregory H. Brady,gregory.brady@yahoo.co.uk,+44 71 3858 2801,32,Millennial,SW3 3XZ,SW3,0.8,Regular,Local,UK,8,2024-06-27,102237.0,Gold,Post,True,Clicked,,96535.52,18.0
CUST-000057,Malcolm Q. Hartley,malcolm.hartley@gmail.com,+44 57 2786 8405,330,Millennial,W6 8UH,W6,5.2,At Risk,Local,UK,1,2025-05-05,59710.0,Gold,Post,True,,,7153.28,390.0
CUST-000058,Margaret I. Page,margaret.page@gmail.com,+44 28 5505 9984,50,Gen X,SW3 2EI,SW3,0.8,At Risk,Local,UK,8,2025-12-19,93907.0,Standard,Post,False,,,87615.89,79.0
CUST-000059,Brett  Rice,brett.rice@outlook.com,+44 46 6553 8430,25,Gen Z,W6 4BD,W6,5.2,Regular,Local,UK,1,2024-03-09,26277.0,Gold,Post,False,Unsubscribed,,4801.85,204.0
CUST-000060,Fiona S. Powell,fiona.powell@hotmail.co.uk,+44 55 6400 3002,38,Millennial,SW10 3KT,SW10,3.8,Regular,Local,UK,2,2024-06-07,29313.0,Standard,Email,False,Opened,,49564.33,28.0
CUST-000061,Jordan F. Barton,jordan.barton@outlook.com,+44 74 1430 5381,25,Gen Z,W6 5OB,W6,5.2,Regular,Local,UK,1,2024-05-26,51305.0,,Post,False,,,113755.14000000001,5.0
CUST-000062,Catherine  Rees,catherine.rees@btinternet.com,+44 41 3578 7062,45,Gen X,W1 9OO,W1,2.5,At Risk,Local,UK,4,2025-09-24,57855.0,Bronze,Email,True,,,32490.51,41.0
CUST-000063,William D. Carter,william.carter@gmail.com,+44 27 6655 8043,48,Gen X,SE1 7XT,SE1,5.5,Regular,Local,UK,1,2024-01-08,60807.0,Standard,Post,,Clicked,,25337.89,266.0
CUST-000064,Catherine  Clements,catherine.clements@gmail.com,+44 28 7229 9725,51,Gen X,SW1 1VO,SW1,1.2,Regular,Local,UK,7,2024-03-20,95706.0,Bronze,,True,Unsubscribed,Referred by friend,28964.05,24.0
CUST-000065,Joshua  Higgins,joshua.higgins@yahoo.co.uk,+44 71 8538 6928,42,Millennial,E14 7SE,E14,8.2,At Risk,Local,UK,2,2024-08-14,119790.0,Gold,SMS,False,Ignored,,3886.96,139.0
CUST-000066,Charles M. Jackson,charles.jackson@yahoo.co.uk,+44 61 3419 4871,47,Gen X,SW6 6OF,SW6,4.8,Regular,Local,UK,2,2025-10-05,61770.0,Bronze,Phone,True,,,22921.0,81.0
CUST-000067,Trevor  Brennan,trevor.brennan@icloud.com,+44 29 8205 2118,26,Gen Z,SE1 6VA,SE1,5.5,Regular,Local,UK,1,2025-04-07,41447.0,Bronze,Email,True,,,78320.67,60.0
CUST-000068,Anne W. Smith,anne.smith@btinternet.com,+44 70 1672 8368,72,Boomer,W1 9BB,W1,2.5,High Potential,Local,UK,4,2024-03-27,46991.0,Silver,SMS,True,Ignored,,36228.67,229.0
CUST-000069,Jenna A. Green,jenna.green@yahoo.co.uk,+44 43 5634 7347,40,Millennial,SW1 9GJ,SW1,1.2,VIP,Local,UK,20,2024-04-06,89202.0,Bronze,Email,False,,,47626.72,157.0
CUST-000070,Alison P. Lloyd,alison.lloyd@hotmail.co.uk,+44 29 6731 6082,34,Millennial,SW3 3JG,SW3,0.8,Regular,Local,UK,8,2024-05-10,89977.0,Standard,Email,False,Ignored,,63062.990000000005,-1.0
CUST-000071,George  King,george.king@yahoo.co.uk,,51,Gen X,W8 7VS,W8,2.0,Regular,Local,UK,5,2024-10-29,58936.0,Silver,SMS,True,,,51148.240000000005,123.0
CUST-000072,Charles  Baker,charles345@yahoo.co.uk,+44 31 3712 8170,45,Gen X,SW3 3FW,SW3,0.8,VIP,Local,UK,24,2024-08-27,85225.0,,Phone,False,Unsubscribed,,132492.37,6.0
CUST-000073,Stacey  Perry,stacey.perry@icloud.com,+44 48 8564 5616,20,Gen Z,W8 4DV,W8,2.0,Regular,Local,UK,5,2025-10-18,80796.0,Standard,Phone,True,Clicked,,26135.84,240.0
CUST-000074,Dale  Simpson,dale.simpson@outlook.com,+44 37 8361 9410,26,Gen Z,SW6 2MT,SW6,4.8,Regular,Local,UK,2,2025-02-28,50278.0,Standard,,False,Clicked,,55069.340000000004,126.0
CUST-000075,Victoria C. Martin,victoria.martin@btinternet.com,,51,Gen X,SW3 1RH,SW3,0.8,At Risk,Local,UK,8,2025-12-13,107986.0,Bronze,Phone,,Unsubscribed,,112541.95999999999,126.0
CUST-000076,Julie V. Willis,julie82@hotmail.co.uk,+44 55 9647 7934,39,Millennial,SW7 1UD,SW7,1.5,High Potential,Local,UK,6,2024-03-05,72200.0,Bronze,Email,,Unsubscribed,,71787.72,21.0
CUST-000077,Carolyn Q. Green,carolyn.green@gmail.com,+44 20 6780 4941,29,Millennial,W8 4GH,W8,2.0,Regular,Local,UK,5,2025-06-22,91767.0,Silver,Email,False,,,57241.96,129.0
CUST-000078,Charles C. Watson,charles.watson@gmail.com,+44 36 1266 6850,61,Boomer,W6 1HO,W6,5.2,Regular,Local,UK,1,2024-12-26,64486.0,Bronze,Email,False,,,26454.760000000002,120.0
CUST-000079,Catherine  Edwards,catherine.edwards@yahoo.co.uk,+44 24 8498 1605,60,Boomer,SW7 8NN,SW7,1.5,Regular,Local,UK,6,2024-09-16,71384.0,Gold,Email,False,Unsubscribed,,58428.75,48.0
CUST-000080,Anne Z. Birch,anne.birch@btinternet.com,+44 47 7553 8204,50,Gen X,SW3 6NF,SW3,0.8,High Potential,Local,UK,8,2024-03-25,106619.0,Standard,Phone,False,Ignored,,106984.08,24.0
CUST-000081,Henry  Gilbert,henry.gilbert@btinternet.com,+44 38 6021 8305,44,Gen X,SW7 6IU,SW7,1.5,VIP,Local,UK,18,2025-09-21,68011.0,Standard,SMS,True,Ignored,Anniversary reminder set,64641.04,35.0
CUST-000082,Max  Ingram,max.ingram@gmail.com,+44 63 3621 1510,21,Gen Z,SW7 7AL,SW7,1.5,High Potential,Local,UK,6,2025-09-11,62497.0,Standard,,False,Clicked,,138627.87,4.0
CUST-000083,Charlotte C. Jones,charlotte.jones@btinternet.com,+44 37 5089 2858,43,Gen X,W1 9HB,W1,2.5,Regular,Local,UK,4,2024-09-23,68015.0,,SMS,True,,,30275.68,33.0
CUST-000084,Henry O. Thomson,henry.thomson@gmail.com,+44 77 8292 2438,49,Gen X,W1 3JF,W1,2.5,Regular,Local,UK,4,2025-12-29,88646.0,Bronze,Email,False,Opened,,18591.989999999998,30.0
CUST-000085,Oliver E. Waters,oliver.waters@yahoo.co.uk,+44 35 9094 1430,42,Millennial,SW3 2QC,SW3,0.8,High Potential,Local,UK,8,2025-02-11,95913.0,Bronze,Phone,True,,Referred by friend,163688.59,2.0
CUST-000086,Josh  Owen,josh.owen@outlook.com,+44 63 9476 6644,22,Gen Z,W1 6MR,W1,2.5,At Risk,Local,UK,4,2024-11-07,94208.0,Silver,Phone,True,Opened,,86457.20999999999,81.0
CUST-000087,George V. Gray,george.gray@yahoo.co.uk,+44 55 5496 3050,53,Gen X,W1 2ZP,W1,2.5,Regular,Local,UK,4,2025-10-01,76064.0,Gold,Phone,True,,,76761.13,8.0
CUST-000088,Georgia  Fraser,georgia885@hotmail.co.uk,+44 69 5336 4453,39,Millennial,SW7 1AQ,SW7,1.5,At Risk,Local,UK,6,2025-05-09,85113.0,Standard,Email,False,Ignored,,55665.61,36.0
CUST-000089,Michael S. Stokes,michael.stokes@yahoo.co.uk,+44 49 4342 6573,37,Millennial,SW1 1MY,SW1,1.2,Regular,Local,UK,7,2025-01-14,82667.0,Bronze,Post,False,Opened,,43748.3,70.0
CUST-000090,Danny S. Dixon,danny.dixon@gmail.com,,40,Millennial,SW5 4RV,SW5,3.2,Regular,Local,UK,3,2024-06-12,66719.0,Standard,Phone,False,,,25469.93,42.0
CUST-000091,Gavin X. Lee,gavin.lee@yahoo.co.uk,+44 35 4524 6781,42,Millennial,SW6 2JB,SW6,4.8,Regular,Local,UK,2,2024-05-17,41348.0,,SMS,True,Unsubscribed,Anniversary reminder set,25878.42,4.0
CUST-000092,Paula G. Bell,paula.bell@icloud.com,+44 24 7329 9261,18,Gen Z,SW10 9KA,SW10,3.8,At Risk,Local,UK,2,2025-07-25,29691.0,Bronze,Email,True,Ignored,Prefers morning appointments,22530.02,65.0
CUST-000093,Charles V. Power,charles141@btinternet.com,+44 29 9446 3290,54,Gen X,SW6 6FV,SW6,4.8,Regular,Local,UK,2,2025-05-01,45407.0,Bronze,Post,False,Ignored,,11991.72,226.0
CUST-000094,Amber A. Wood,amber.wood@yahoo.co.uk,+44 61 4728 1841,36,Millennial,W11 1RJ,W11,4.2,High Potential,Local,UK,3,2025-12-18,81964.0,Silver,SMS,True,,,28677.73,232.0
CUST-000095,Charlotte U. Matthews,charlotte.matthews@gmail.com,+44 50 2020 3262,44,Gen X,SW10 7FF,SW10,3.8,VIP,Local,UK,6,2025-06-29,43345.0,Bronze,SMS,False,Unsubscribed,,81990.69,-1.0
CUST-000096,George L. Morris,george.morris@yahoo.co.uk,+44 55 5890 4684,48,Gen X,SW7 8TG,SW7,1.5,High Potential,Local,UK,6,2024-12-23,80047.0,Bronze,Phone,False,,,48319.02,58.0
CUST-000097,Sylvia  Moore,sylvia.moore@icloud.com,+44 72 6654 3399,26,Gen Z,W6 9QF,W6,5.2,Regular,Local,UK,1,2024-08-07,80385.0,Bronze,Email,False,Unsubscribed,,14197.02,452.0
CUST-000098,Charles N. Ward,charles.ward@btinternet.com,+44 53 4697 4814,58,Gen X,SW1 4XO,SW1,1.2,Regular,Local,UK,7,2025-07-17,99874.0,,SMS,True,,Prefers morning appointments,65434.85,3.0
CUST-000099,Patrick  Holmes,patrick.holmes@yahoo.co.uk,+44 38 1969 2465,35,Millennial,SW6 4XB,SW6,4.8,Regular,Local,UK,2,2024-02-07,38541.0,Silver,Email,True,Opened,Referred by friend,0.0,180.0
CUST-000100,Catherine  Ford,catherine.ford@gmail.com,+44 79 6489 5662,56,Gen X,SW3 1VT,SW3,0.8,Regular,Local,UK,8,2024-04-25,92794.0,Standard,Phone,False,,,93636.67,10.0
CUST-000101,Edward N. Kennedy,edward346@btinternet.com,+44 31 7643 8007,49,Gen X,SW1 5FV,SW1,1.2,High Potential,Local,UK,7,2024-01-07,79544.0,Gold,Email,True,Opened,,173056.12,54.0
CUST-000102,Anne  Harris,anne.harris@gmail.com,+44 35 2017 2936,47,Gen X,W1 1XB,W1,2.5,High Potential,Local,UK,4,2024-08-12,67395.0,Silver,Post,False,Opened,Referred by friend,39800.75,21.0
CUST-000103,George  Dennis,george.dennis@gmail.com,+44 71 4578 5054,51,Gen X,SW3 9VX,SW3,0.8,VIP,Local,UK,24,2025-07-14,108088.0,Gold,Post,True,,Prefers morning appointments,254836.76,30.0
CUST-000104,Catherine J. Kemp,catherine.kemp@yahoo.co.uk,+44 77 9361 8298,58,Gen X,SW3 4MJ,SW3,0.8,High Potential,Local,UK,8,2024-01-23,87839.0,Standard,SMS,True,Ignored,,74389.47,14.0
CUST-000105,Michael  Williams,michael.williams@hotmail.co.uk,,28,Millennial,W6 7SX,W6,5.2,At Risk,Local,UK,1,2025-10-18,69401.0,Gold,SMS,,Opened,Referred by friend,97547.4,317.0
CUST-000106,Stanley  Davies,stanley.davies@icloud.com,+44 62 9835 3178,20,Gen Z,SW3 7HW,SW3,0.8,Regular,Local,UK,8,2024-01-04,118550.0,Bronze,,False,Opened,,97317.74,32.0
CUST-000107,Shane F. Davies,shane.davies@hotmail.co.uk,+44 49 6671 3541,32,Millennial,N1 9FQ,N1,6.8,High Potential,Local,UK,2,2024-03-09,53931.0,Gold,,True,,,7158.91,386.0
CUST-000108,Henry G. Cook,henry.cook@btinternet.com,+44 33 1924 3295,48,Gen X,SW7 1NR,SW7,1.5,VIP,Local,UK,18,2024-05-26,69591.0,Bronze,Post,False,,Prefers morning appointments,129197.18,1.0
CUST-000109,Kerry R. Bradley,kerry.bradley@hotmail.co.uk,+44 51 1768 6642,34,Millennial,W11 3UL,W11,4.2,Regular,Local,UK,3,2025-01-20,74025.0,Standard,Post,False,,,26462.61,384.0
CUST-000110,Victoria  Phillips,victoria.phillips@gmail.com,+44 55 7761 7824,47,Gen X,SW1 3MF,SW1,1.2,At Risk,Local,UK,7,2024-04-04,88188.0,Silver,Post,True,Ignored,,150419.99,70.0
CUST-000111,Elizabeth U. Carroll,elizabeth.carroll@yahoo.co.uk,+44 68 4555 8854,45,Gen X,SW3 1ZT,SW3,0.8,Regular,Local,UK,8,2025-05-05,102469.0,Bronze,Email,True,Clicked,Prefers morning appointments,56805.15,31.0
CUST-000112,Victoria F. Williamson,victoria.williamson@gmail.com,+44 43 9401 9147,70,Boomer,W1 9NE,W1,2.5,Regular,Local,UK,4,2024-02-16,63489.0,Standard,Post,False,,,62892.08,93.0
CUST-000113,Catherine B. Young,catherine.young@yahoo.co.uk,+44 34 7223 5026,71,Boomer,W1 7RZ,W1,2.5,At Risk,Local,UK,4,2024-06-22,62875.0,Bronze,SMS,False,Ignored,,60482.11,16.0
CUST-000114,Gary B. Collier,gary.collier@outlook.com,+44 24 1794 1104,19,Gen Z,SW1 1LT,SW1,1.2,Regular,Local,UK,7,2024-03-02,80113.0,Silver,,True,Ignored,,11644.47,172.0
CUST-000115,Henry  Ryan,henry.ryan@yahoo.co.uk,+44 21 9673 5501,49,Gen X,W1 1DK,W1,2.5,High Potential,Local,UK,4,2024-04-19,103142.0,Bronze,,False,Opened,Prefers morning appointments,169637.07,49.0
CUST-000116,Derek X. Roberts,derek.roberts@yahoo.co.uk,,34,Millennial,SW1 5GW,SW1,1.2,Regular,Local,UK,7,2024-04-05,95378.0,Standard,Phone,True,Clicked,,87658.42,27.0
CUST-000117,David E. Griffiths,david176@outlook.com,+44 70 6427 2562,20,Gen Z,N1 2NY,N1,6.8,Regular,Local,UK,2,2025-07-10,81471.0,Gold,SMS,True,Ignored,,7300.97,217.0
CUST-000118,Carly  White,carly213@yahoo.co.uk,+44 45 2260 5903,35,Millennial,W6 3YL,W6,5.2,VIP,Local,UK,4,2025-12-06,44766.0,Silver,SMS,False,Opened,,62837.840000000004,44.0
CUST-000119,Jake  Robertson,jake.robertson@gmail.com,+44 69 7499 6347,39,Millennial,SW10 4VT,SW10,3.8,At Risk,Local,UK,2,2025-03-18,31539.0,,SMS,False,Unsubscribed,,8328.94,150.0
CUST-000120,James W. Carr,james.carr@yahoo.co.uk,,48,Gen X,SW7 4UK,SW7,1.5,At Risk,Local,UK,6,2024-11-11,86180.0,Silver,Post,True,,,19053.47,161.0
CUST-000121,Margaret W. Bird,margaret.bird@btinternet.com,+44 21 2468 6798,43,Gen X,SW7 9XA,SW7,1.5,Regular,Local,UK,6,2025-08-08,81167.0,Bronze,Email,False,Opened,,80728.14,43.0
